Objection Status,First Contact Date,Nationality,Main Contact Platform,Lead Quality,Service,Ad Source,Objection Type,Quote_English,Nationality_Category
Unsolved,2026-01-12,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Others,"Not yet, dear. Wait for me to discuss with the family first. I don't know if he wants to go with the tour or go by himself.",Khmer
Unsolved,2026-01-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Risk / Guarantee Concerns,"If you submit a visa, will it be approved or not?",Khmer
Unsolved,2026-03-14,KHM,Facebook - Explorer Travel Agency,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Documentation,They do not have a patent.,Khmer
Unsolved,2026-01-14,KHM,Facebook - Explorer by SL,Lost,VISA-CN | TOU | DOU-V180D-30D | S | KHM,CHNTE01 | #C01-K (VC0001E1 - TAVC05),Processing Time,Is there express service? I want it faster than that (voice),Khmer
Unsolved,2026-01-15,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"If you get a VISA, can you work?",Khmer
Unsolved,2026-01-15,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Go play or go work with elder brother,Khmer
Unsolved,2026-01-16,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Others,Which tour? I want to follow the tour. Following the tour is easy.,Khmer
Unsolved,2026-01-16,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Risk / Guarantee Concerns,"If you get 100%, you already know what to put.",Khmer
Unsolved,2026-01-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Documentation,"Just keep asking first, currently do not yet have enough documents (voice)",Khmer
Unsolved,2026-01-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"Avis has been working for three years, hasn't he?",Khmer
Unsolved,2026-03-18,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"So if we want to work there, what expenses will we have, brother?",Khmer
Unsolved,2026-01-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,I need to do a short season,Khmer
Unsolved,2026-01-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Employme - Out Of Scope,Can this visa be used to work?,Khmer
Unsolved,2026-01-17,KHM,Facebook - Explorer by SL,Lost,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,DM,Others,"I am in Dubai, want to get a visa to visit my husband in Korea",Khmer
Unsolved,2026-01-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-AE | TOU | SIN-60D-30D | E | KHM,DM,Others,Tour packages Dubai February,Khmer
Unsolved,2026-01-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"Go to work, please go one by one",Khmer
Unsolved,2026-01-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"Want to work in Australia, what should I do, brother?",Khmer
Unsolved,2026-01-18,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Others,Is there a document arranged on your side for living or not?,Khmer
Solved,2026-01-18,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Documentation,"I have a job but it is not me, the child is the one who goes",Khmer
Unsolved,2026-03-15,KHM,Facebook - Explorer by SL,Unqualified,VISA-US | TOU | DOU-V90D-DIS | S | KHM,USATM02 | #U01-K,Employme - Out Of Scope,Visa 365 dollars then,Khmer
Unsolved,2026-03-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,Want a visa to work?,Khmer
Unsolved,2026-03-16,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Others,I ask for information about sponsoring parents to live permanently in Australia,Khmer
Unsolved,2026-03-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,What documents do we need to work in Australia?,Khmer
Unsolved,2026-03-16,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"Visa, are we going to work or what, teacher?",Khmer
Unsolved,2026-03-18,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,"Hello my brother, I want to work in Australia. Brother, can you help? If we don't have money, then no.",Khmer
Unsolved,2026-03-18,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,"Want to work in Australia, what do you need to do?",Khmer
Unsolved,2026-03-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,I want to know what documents are needed to work in Australia.,Khmer
Unsolved,2026-03-19,KHM,Facebook - Explorer by SL,Unqualified,VISA-US | TOU | DOU-V90D-DIS | S | KHM,USATM02 | #U01-K,Employme - Out Of Scope,"Are you going to work or to play, brother?",Khmer
Unsolved,2026-03-19,KHM,Facebook - Explorer by SL,Unqualified,VISA-US | TOU | DOU-V90D-DIS | S | KHM,USATM02 | #U01-K,Risk / Guarantee Concerns,"If only I knew, I would have gone, right?",Khmer
Unsolved,2026-03-19,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Do you have any conditions or requirements for working? What should they select or not select?,Khmer
Unsolved,2026-03-20,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,"Assume morning work comments in Ita district, really no tourism",Khmer
Unsolved,2026-02-15,KHM,Facebook - Explorer Travel Agency,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | FOR,AUSTE02|AU1-F,Employme - Out Of Scope,"Sorry, brother Visa, are you going out to play or working?",Khmer
Unsolved,2026-03-20,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,So if you want to apply for seasonal workers,Khmer
Unsolved,2026-02-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,KORTM02 | #K01-K,Risk / Guarantee Concerns,"So if we don't get it, because that money won't be lost at all, dear.",Khmer
Unsolved,2026-03-19,KHM,Facebook - Explorer by SL,Lost,VISA-US | TOU | DOU-V90D-DIS | S | KHM,DM,Others,"I understand, there is no CR1 visa program, but there is only a way to travel as a tourist.",Khmer
Unsolved,2026-02-16,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTE02|AU1-F,Employme - Out Of Scope,I want to go work in Australia,Khmer
Unsolved,2026-03-19,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"Go have fun, how can we work without it?",Khmer
Unsolved,2026-03-15,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,Is there a service to make a visa to work in Australia?,Khmer
Unsolved,2026-03-19,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,I just want to know how much we need to spend to do that work.,Khmer
Unsolved,2025-07-20,KHM,Facebook - Explorer by SL,Unqualified,VISA - CA | TOU | DIS-DIS-180D | S | KHM,(#V0010*-#TAVA01,Risk / Guarantee Concerns,"On our side, it is certain whether or not, dear.",Khmer
Unsolved,2026-03-19,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Have you applied for the job as well?,Khmer
Unsolved,2026-03-19,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,"And if possible, can we work?",Khmer
Unsolved,2026-03-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,KORTE01 | #K01-K,Employme - Out Of Scope,Seasonal worker,Khmer
Unsolved,2026-03-22,KHM,Facebook - Explorer by SL,Unqualified,VISA-CN | FAM (Q2) | DOU-V180D-DIS | S | KHM,DM,Employme - Out Of Scope,"Put the visa there, the visa to go out or the visa to work",Khmer
Unsolved,2026-03-19,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,I thought Visa was for work,Khmer
Unsolved,2026-03-20,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,There is a morning meeting to discuss work in the district of Aita. It is truly a tourist area.,Khmer
Unsolved,2026-03-23,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"We go with the name as workers or enter nationality, how many years can a visa be obtained?",Khmer
Unsolved,2026-03-23,KHM,Facebook - Explorer by SL,Unqualified,VISA-US | TOU | DOU-V90D-DIS | S | KHM,DM,Employme - Out Of Scope,I thought it was a work visa. Now I see they have a work visa to go to America.,Khmer
Unsolved,2026-03-19,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"They recruit staff to migrate in the autumn season, right?",Khmer
Unsolved,2026-03-23,KHM,Facebook - Explorer by SL,Lost,VISA - CA | TOU | DIS-DIS-180D | S | KHM,ad_id.120225091087400078,Others,"I heard that Visa has been for 10 years, before I got one year ago.",Khmer
Unsolved,2026-03-19,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"If we go to play, can we work?",Khmer
Unsolved,2025-10-07,KHM,Facebook - Explorer by SL,Lost,VISA-JP | TOU | SIN-V90D-15D | E | KHM,#V0016C1 - #TAVJ08,Documentation,"It's nothing, dear, because it looks and sounds like a wedding invitation, and the ID card is also wrong. It's difficult to be confused.",Khmer
Unsolved,2026-03-23,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"Yes, I thought about applying to work in Australia. I want to go to work with",Khmer
Unsolved,2026-03-23,KHM,Facebook - Explorer by SL,Unqualified,VISA-JP | TOU | SIN-V90D-15D | E | KHM,(JPNTM03 | #J01-K,Employme - Out Of Scope,"I thought only you knew how to apply as a tourist and then go to Japan, having the right to apply for a work permit.",Khmer
Unsolved,2026-03-22,KHM,Facebook - Explorer by SL,Lost,VISA-CN | TOU | SIN-V90D-30D | S | KHM,ad_id.120225091087400078,Processing Time,"If we now get a visa to China before entering the Khmer New Year, is it still valid?",Khmer
Unsolved,2026-03-21,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,Want to go to work,Khmer
Unsolved,2026-03-19,KHM,Facebook - Explorer by SL,Lost,VISA-EU | SVS(C) | DIS-DIS-DIS | S | KHM,ad_id.120225091087400078,Risk / Guarantee Concerns,"In 350, do you guarantee that you will pass? What is the high passing percentage?",Khmer
Unsolved,2026-03-23,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,Ask for more information,Khmer
Unsolved,2025-12-14,KHM,Facebook - Explorer by SL,Qualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Risk / Guarantee Concerns,I have fallen twice already. I don't know what else to do. I'm afraid to go out again.,Khmer
Unsolved,2026-02-05,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Employme - Out Of Scope,One visa,Khmer
Unsolved,2026-03-24,KHM,Facebook - Explorer by SL,Unqualified,VISA - CA | TOU | DIS-DIS-180D | S | KHM,DM,Employme - Out Of Scope,"Hello brother, for Canada, is there a visa to study or work with the whole family?",Khmer
Unsolved,2026-03-24,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,So if we want to work,Khmer
Unsolved,2026-03-24,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Can we live and work with a visa?,Khmer
Unsolved,2026-03-24,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Is there a work visa?,Khmer
Unsolved,2026-03-24,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,"I want to go to work, not to school. What should I do if I can't go, dear?",Khmer
Unsolved,2026-03-24,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,(AUSTC01 | #A01-K,Employme - Out Of Scope,"So, how about going to work?",Khmer
Unsolved,2026-03-24,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,(AUSTC01 | #A01-K,Employme - Out Of Scope,Can we go to work?,Khmer
Unsolved,2026-01-10,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Risk / Guarantee Concerns,I would like to ask a little because my friend placed it in a row and it fell a lot.,Khmer
Unsolved,2026-01-13,KHM,Facebook - Explorer by SL,Lost,VISA-CN | FAM (Q1) | SIN-V90D-DIS | S | KHM,CHNTE01 | #C01-K (VC0001E1 - TAVC05),Documentation,"Ask for a son and take the grandfather on the Khmer side, what kind of grandfather is it?",Khmer
Unsolved,2026-01-12,KHM,Facebook - Explorer by SL,Lost,VISA - CA | TOU | DIS-DIS-180D | S | KHM,CANTC01 | #C01-K,Risk / Guarantee Concerns,"So if we don't request that, and request to Canada immediately, for example if we fail the mic again",Khmer
Unsolved,2026-01-13,KHM,Facebook - Explorer by SL,Unqualified,VISA - CA | TOU | DIS-DIS-180D | S | KHM,DM,Others,I want to stay at your place,Khmer
Unsolved,2026-01-14,KHM,Facebook - Explorer by SL,Unqualified,VISA-US | TOU | DOU-V90D-DIS | S | KHM,​DM,Risk / Guarantee Concerns,"Someone told me that if I don't travel to different countries, the success rate is low.",Khmer
Unsolved,2026-01-14,KHM,Facebook - Explorer by SL,Lost,VISA-CN | ALL | EXPRESS | NA | KHM & FOR,CHNTE01 | #C01-K (VC0001E1 - TAVC05),Processing Time,Is there an express service? I want it faster than that (voice),Khmer
Unsolved,2026-01-18,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Employme - Out Of Scope,"During the 3 months of walking around, can we work there?",Khmer
Unsolved,2026-01-18,KHM,Facebook - Explorer by SL,Lost,VISA-JP | TOU | SIN-V90D-15D | E | KHM,AUSTM02 | #A01-K,Risk / Guarantee Concerns,Does a Japanese visa guarantee entry? Is it true or not? (visa jp),Khmer
Unsolved,2025-12-11,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,Want to work there,Khmer
Unsolved,2025-12-11,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,"Can I apply for an Australian visa to work, brother? Can I go next month, brother?",Khmer
Unsolved,2025-12-11,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Others,"I want to go out to play, always wanting to have a long time.",Khmer
Unsolved,2025-12-11,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,DM,Employme - Out Of Scope,"Want to work in Korea, brother",Khmer
Unsolved,2025-12-11,KHM,Facebook - Explorer by SL,Lost,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,DM,Price,Translation documents are too expensive,Khmer
Unsolved,2025-12-12,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,Want to go: work there,Khmer
Unsolved,2025-12-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,Have a visa to work somewhere,Khmer
Unsolved,2025-12-14,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM01 | #A01-K (#V0022M1 - #TAVA01),Risk / Guarantee Concerns,100 percent guaranteed,Khmer
Unsolved,2025-12-14,KHM,Facebook - Explorer by SL,Unqualified,VISA-JP | TOU | SIN-V90D-15D | E | KHM,DM,Others,Is there a way out?,Khmer
Unsolved,2025-12-18,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTE01 | #A01-K (#V0022E1 - #TAVA01),Risk / Guarantee Concerns,Afraid of credit damage because of past defaults,Khmer
Unsolved,2025-12-15,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,​DM,Employme - Out Of Scope,"I want to work as a laborer in Australia, brother.",Khmer
Unsolved,2025-12-16,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,KORTC01 | #K01-K,Others,The visa package will have a longer validity than that or not?,Khmer
Unsolved,2025-12-18,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Documentation,There are many missing documents,Khmer
Unsolved,2025-12-16,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,Work visa and tourist visa,Khmer
Unsolved,2025-12-16,KHM,Facebook - Explorer by SL,Lost,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,DM,Documentation,No job but have money in the account,Khmer
Unsolved,2026-03-24,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,Want to go do a card but no money,Khmer
Unsolved,2026-03-24,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,Chamroeun Chamroeun,Employme - Out Of Scope,"Over there, we can look for work to increase income.",Khmer
Unsolved,2025-12-16,KHM,Facebook - Explorer by SL,Lost,VISA-CN | ALL | EXPRESS | NA | KHM & FOR,DM,Processing Time,"Brother, if you apply for a visa for more than 10 days, will it be approved?",Khmer
Unsolved,2025-12-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,KORTM01 | #K01-K,Others,"Came only for 3 months, then left",Khmer
Unsolved,2025-12-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Others,I am a group organizing student documents for studying.,Khmer
Unsolved,2025-12-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-JP | TOU | SIN-V90D-15D | E | KHM,JPNTM01 | #J01-K,Employme - Out Of Scope,"Visa to work in Japan, how much does it cost, brother?",Khmer
Unsolved,2025-12-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,Want to go to work,Khmer
Unsolved,2025-12-18,KHM,Facebook - Explorer by SL,Unqualified,VISA-JP | TOU | SIN-V90D-15D | E | KHM,DM,Employme - Out Of Scope,Can you do it?,Khmer
Unsolved,2025-12-18,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,Have a visa to visit you,Khmer
Unsolved,2025-12-19,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,DM,Comparison / Competitor Claim,"Brother, because I saw your price is only $70, the size is quite big. On their side, the package is $100, but they include everything, including translation as well, brother.",Khmer
Unsolved,2026-03-25,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"So I want to ask, if I apply to work for a real year, how much would it cost?",Khmer
Unsolved,2026-03-24,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,"Go to work in Australia, what is it?",Khmer
Unsolved,2026-03-25,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,Can you go to work?,Khmer
Unsolved,2026-03-24,KHM,Facebook - Explorer by SL,Unqualified,VISA-JP | TOU | SIN-V90D-15D | E | KHM,DM,Others,"I want to travel for about 1 month, 2 months, 3 months. Then I don't want to come back. If it's 3 or 4 months, I can come back. What should I do?",Khmer
Unsolved,2026-03-25,KHM,Facebook - Explorer by SL,Qualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Comparison / Competitor Claim,"Some companies guarantee that if the visa is not approved, they will not charge a service fee.",Khmer
Unsolved,2026-03-23,KHM,Facebook - Explorer by SL,Unqualified,VISA-CN | TOU | SIN-V90D-30D | S | KHM,DM,Documentation,But I don't have it either,Khmer
Unsolved,2026-01-12,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"When we put it in, can we get connected to work like that?",Khmer
Unsolved,2026-03-14,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"I just want to know if the visa is for work, brother.",Khmer
Unsolved,2026-03-25,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,At the location where Australian workers are taken to the site,Khmer
Unsolved,2026-01-10,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Risk / Guarantee Concerns,Want to put it all at once continuously,Khmer
Unsolved,2026-01-10,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"Can only go for a walk, can’t work, right?",Khmer
Unsolved,2026-01-09,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Trust,"I cannot give my bank guarantee to him. Sorry, please wait for me to find a lawyer to redo it.",Khmer
Unsolved,2026-01-09,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Price,"You, my dear, from Khmer to English, please help simplify a bit.",Khmer
Unsolved,2026-01-09,KHM,Facebook - Explorer by SL,Lost,VISA-JP | TOU | SIN-V90D-15D | E | KHM,JPNTE01 | #J01-K,Risk / Guarantee Concerns,"I don't have a brother, but I have land to walk on, so I hope to succeed.",Khmer
Unsolved,2026-01-09,KHM,Facebook - Explorer by SL,Unqualified,VISA-US | TOU | DOU-V90D-DIS | S | KHM,USATH01 | #U01-K,Risk / Guarantee Concerns,I'm just afraid to put it down,Khmer
Unsolved,2026-03-29,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"Contact information to Australia, how do they do it, how is it, we want to go to work, what should we do?",Khmer
Unsolved,2026-03-30,KHM,Facebook - Explorer by SL,Unqualified,"VISA-AU | TOU | DIS-DIS-DIS | E | KHM, VISA - CA | TOU | DIS-DIS-180D | S | KHM",ad_id.120225091087400078,Employme - Out Of Scope,"Conditions for going to Australia, what conditions do they require, brother? We want to work as laborers.",Khmer
Unsolved,2026-03-22,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,Australian visa,Khmer
Unsolved,2026-03-29,KHM,Facebook - Explorer by SL,Unqualified,VISA-JP | TOU | SIN-V90D-15D | E | KHM,DM,Employme - Out Of Scope,"Both visas, we can only travel to China or work in Japan.",Khmer
Unsolved,2024-11-22,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Lack of Understanding,"If we don't have a guarantor, you stay in quarantine, what about you? We will still apply for the visa, won't we?",Khmer
Unsolved,2026-03-30,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,We ask tourists or workers to,Khmer
Unsolved,2026-03-29,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"Brother, regarding the visa, we have submitted it for processing.",Khmer
Unsolved,2026-03-30,KHM,Facebook - Explorer by SL,Unqualified,VISA-NZ | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,I want to live and work in New Zealand,Khmer
Unsolved,2025-11-13,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,#V0016C1 - #TAVJ08,Lack of Understanding,"If we don't know anyone in Australia, can we still go, dear?",Khmer
Unsolved,2025-11-13,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,#V0016C1 - #TAVJ08,Documentation,"Want to say that we have money to go out and have fun, but we don't have a clear job.",Khmer
Unsolved,2025-07-24,KHM,Facebook - Explorer by SL,Unqualified,VISA-JP | TOU | SIN-V90D-15D | E | KHM,#V00012E1-#TAVJ04,Documentation,"Some letters I don't have either, brother.",Khmer
Unsolved,2026-03-26,KHM,Facebook - Explorer by SL,Unqualified,VISA-CN | TOU | SIN-V90D-30D | S | KHM,CHNTM02 | #C01-K,Documentation,"I am not married yet, brother. I am only 22 years old.",Khmer
Unsolved,2026-03-25,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,Are we going to work for the company or what?,Khmer
